,,,,,,,,,,,Demographic,,,,Clinical,,,,,,,
CovidenceID,PMID,Study ID,Title,publication.year,Study.location.1,Study.location.2,Number.of.samples.sequenced,Repository,Sequence.IDs.reported,SequenceID.article.location,Age,Gender,Race.Ethnicity.Nationality,demographic.article.location,Comorbilities,Inpatient/Outpatient,Outcomes,Severity,Signs/Symptoms,Treatment,Vaccination status,clinical.article.location
2974,36301829,vanBeek 2022,"Population-based screening in a municipality after a primary school outbreak of the SARS-CoV-2 Alpha variant, the Netherlands, December 2020-February 2021.",2022, The Netherlands,,418,GISAID,Yes,Text,Yes,No,No,Text; Table; Supplemental,No,No,No,No,Yes,No,No,Text; table; Supplemental
2972,36298869,Pinheiro 2022,"Impact of Early Pandemic SARS-CoV-2 Lineages Replacement with the Variant of Concern P.1 (Gamma) in Western Bahia, Brazil.",202,Brazil,,112,GISAID,Yes,Supplemental materials,Yes,Yes,No,Supplemental,No,No,Yes,No,No,No,No,Text; Supplemental; Figure
2966,36296230,AlbaJMG 2022,Emergence of New SARS-CoV2 Omicron Variants after the Change of Surveillance and Control Strategy.,2022, Spain,,445,GISAID,Yes,Text; Supplemental materials,Yes,Yes,No,Table; Supplemental,No,No,No,No,No,No,No,
2572,35850933,Abbas 2022,Reconstruction of transmission chains of SARS-CoV-2 amidst multiple outbreaks in a geriatric acute-care hospital: a combined retrospective epidemiological and genomic study.,2022, Switzerland,,148,GenBank,Yes,Text,Yes,Yes,No,Table,No,No,No,No,Yes,No,No,table
2518,35699426,Agoti 2022,Transmission networks of SARS-CoV-2 in Coastal Kenya during the first two waves: A retrospective genomic study.,2022, Kenya,,1139,GISAID,Yes,Supplemental materials,Yes,Yes,Yes,Table,No,No,No,No,No,No,No,
2456,35759503,Abdullaev 2022,Genome sequence diversity of SARS-CoV-2 obtained from clinical samples in Uzbekistan.,2022, Uzbekistan,,39,GISAID;  Supplemental file,Yes,Text,Yes,Yes,No,Text; Table; Figure,Yes,Yes,No,Yes,No,No,No,Text
2346,35663867,Agius 2022,SARS-CoV-2 Within-Host and in vitro Genomic Variability and Sub-Genomic RNA Levels Indicate Differences in Viral Expression Between Clinical Cohorts and in vitro Culture.,2022, Australia,,84,Sequence read archive (SRA); BioProject; BioSample,Yes,Text,Yes,Yes,No,Text; Table; Supplemental,No,No,No,Yes,Yes,No,No,Text; table; Supplemental
2343,35637329,Aggarwal 2022,Platform for isolation and characterization of SARS-CoV-2 variants enables rapid characterization of Omicron in Australia.,2022, Australia,,19,GISAID; BioProject,Yes,Text; Supplemental materials,Yes,Yes,No,Text; Supplemental,No,No,No,No,No,No,Yes,Text
2264,38843052,Vergouwe 2024,A Robust Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2)-Specific T- and B-Cell Response Is Associated With Early Viral Clearance in SARS-CoV-2 Omicron-Infected Immunocompromised Individuals.,2024, Netherlands,,78,GISAID,Yes,Supplemental materials,Yes,Yes,No,Table; Supplemental,Yes,Yes,Yes,Yes,Yes,Yes,Yes,table; Supplemental
2261,39162510,Mostafa 2024,Respiratory virus disease and outcomes at a large academic medical center in the United States: a retrospective observational study of the early 2023/2024 respiratory viral season.,2024,United States,,920,GISAID,Yes,Supplemental materials,Yes,Yes,No,Table; Supplemental,Yes,No,No,No,No,No,No,table; Supplemental
2254,39338420,FonsecaPLC 2024,"Retrospective Analysis of Omicron in Minas Gerais, Brazil: Emergence, Dissemination, and Diversification.",2024,Brazil,,253,GISAID,Yes,Supplemental materials,Yes,Yes,No,Table; Figure,No,No,Yes,No,No,No,Yes,table; Figure
2236,39300352,Karmacharya 2024,"COVID-19 breakthrough infections in vaccinated individuals at BPKIHS, Nepal.",2024, Nepal,,3,GISAID,Yes,Text,Yes,Yes,No,Text; Table,Yes,Yes,No,No,Yes,No,Yes,Text; table; Figure
2230,39290577,Al-Emran 2024,Emergence of SARS-CoV-2 Variants Are Induced by Coinfections With Dengue.,2024, Bangladesh,,12,GISAID,Yes,Text,Yes,Yes,No,Table,No,No,Yes,No,Yes,No,No,table
2218,39190434,Harrigan 2024,The Clinical Severity of COVID-19 Variants of Concern: Retrospective Population-Based Analysis.,2024, Canada,,0,Not Reported,No,,Yes,Yes,Yes,Text; Table; Supplemental,Yes,Yes,No,Yes,Yes,No,Yes,table; Supplemental
2216,39251760,Shiino 2024,Molecular epidemiology of SARS-CoV-2 genome sentinel surveillance in commercial COVID-19 testing sites targeting asymptomatic individuals during Japan's seventh epidemic wave.,2024, Japan,,8266,GenBank; BioProject; BioSample,Yes,Text; Supplemental materials,Yes,Yes,Yes,Text; Supplemental,No,No,No,No,No,No,No,
2199,39205237,Begum 2024,Comprehensive Analysis of SARS-CoV-2 Dynamics in Bangladesh: Infection Trends and Variants (2020-2023).,2024, Bangladesh,,"33,090",GISAID,No,,Yes,Yes,No,Text; Table; Figure,No,No,No,No,No,No,No,
2196,39203538,Kim 2024,Comparable Efficacy of Lopinavir/Ritonavir and Remdesivir in Reducing Viral Load and Shedding Duration in Patients with COVID-19.,2024, South Korea,,7,GISAID,Yes,Supplemental materials,Yes,Yes,No,Supplemental,Yes,No,No,No,Yes,Yes,No,Supplemental
2194,39109863,Sivertsen 2024,Comprehensive contact tracing during an outbreak of alpha-variant SARS-CoV-2 in a rural community reveals less viral genomic diversity and higher household secondary attack rates than expected.,2024, Norway,,121,ENA,Yes,,Yes,Yes,No,Figure,No,No,No,No,Yes,No,Yes,Text
2154,39085807,AlcantaraDMC 2024,"Long-term surveillance of SARS-CoV-2 in the school community from Campo Grande, Brazil.",2024,Brazil,,741,GISAID,Yes,Supplemental materials,Yes,Yes,No,Text; Table,No,No,No,Yes,Yes,No,Yes,Text; table
